#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
0	4	0	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	1	1	1	2	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
1	2	2	1	2	19	3	15	13	11	16	7	D	G	Vb	2d 1f# 1a
1	3	3	0.5	1	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
1	3.5	3.5	0.5	1	12	17	8	20	4	16	7	G	G	(I)	1d 1g 2b
1	4	4	0.5	1	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
1	4.5	4.5	0.5	1	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
2	1	5	0.5	1	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
2	1.5	5.5	0.5	1	14	12	10	15	6	18	9	G	G	(I)	1d 1f# 1g 1b
2	2	6	1	2	4	16	7	12	17	8	20	C#	G	viiob/V	1c# 2e 1g
2	3	7	1	2	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
2	4	8	0.5	1	13	11	16	7	19	3	15	A	G	ii	1c 1e 2a
2	4.5	8.5	0.5	1	9	14	12	10	15	6	18	A	G	(ii)	1c 1e 1g 1a
3	1	9	0.5	1	19	3	15	13	11	16	7	D	G	V7	2d 1f# 1a
3	1.5	9.5	0.5	1	15	6	18	9	14	12	10	D	G	(V7)	1c 1d 1f# 1a
3	2	10	0.5	1	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
3	2.5	10.5	0.5	1	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
3	3	11	0.5	1	9	14	12	10	15	6	18	A	G	V7b/V	1c# 1e 1g 1a
3	3.5	11.5	0.5	1	18	9	14	12	10	15	6	B	G	V7b/VI	1d# 1f# 1a 1b
3	4	12	0.5	1	7	19	3	15	13	11	16	E	G	vi	2e 1g 1b
3	4.5	12.5	0.5	1	21	5	17	8	13	11	9	D	G	Vb	1d 1f# 2a
4	1	13	0.5	1	15	13	11	16	7	12	10	G	G	I	1d 1g 1a 1b
4	1.5	13.5	0.5	1	11	16	7	19	3	15	13	G	G	(I)	1d 2g 1b
4	2	14	0.5	1	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
4	2.5	14.5	0.5	1	19	3	15	13	11	16	7	D	G	(V)	2d 1f# 1a
4	3	15	1	2	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
4	4	16	1	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
5	1	17	0.5	1	11	16	7	19	3	15	13	G	G	I	1d 2g 1b
5	1.5	17.5	0.5	1	15	13	11	16	7	12	10	G	G	(I)	1d 1g 1a 1b
5	2	18	0.5	1	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
5	2.5	18.5	0.5	1	9	14	12	17	8	13	11	G	G	(Ib)	1c# 1d 1g 1b
5	3	19	0.5	1	16	7	12	17	8	13	11	D	G	V	2d 1g 1a
5	3.5	19.5	0.5	1	13	11	9	14	12	10	15	D	G	(V)	1d 1e 1g 1a
5	4	20	0.5	1	20	4	16	7	12	17	8	D	G	(V)	1d 2f# 1a
5	4.5	20.5	0.5	1	16	7	12	17	8	20	4	D	G	(V)	2d 1f# 1b
6	1	21	0.5	1	10	15	6	18	9	14	12	E	G	vi7	1d 1e 1g 1b
6	1.5	21.5	0.5	1	8	13	4	16	14	12	17	E	G	(vi7)	1d 2e 1g
6	2	22	0.5	1	13	11	16	7	19	3	15	A	G	V/V	1c# 1e 2a
6	2.5	22.5	0.5	1	13	11	16	7	19	3	15	A	G	(V/V)	1c# 1e 2a
6	3	23	1	2	19	3	15	13	11	16	7	D	G	V;	2d 1f# 1a
6	4	24	0.5	1	11	16	7	19	3	15	13	G	G	V7/IV	1d 2g 1b
6	4.5	24.5	0.5	1	14	12	10	15	6	18	9	G	G	(V7/IV)	1d 1f 1g 1b
7	1	25	0.5	1	4	16	7	12	17	8	20	C	G	IVb	1c 2e 1g
7	1.5	25.5	0.5	1	12	10	15	6	18	9	14	C	G	(IVb)	1c 1e 1f# 1a
7	2	26	0.5	1	12	17	8	20	4	16	7	G	G	I	1d 1g 2b
7	2.5	26.5	0.5	1	10	22	6	18	2	14	12	G	G	(I)	2g 2b
7	3	27	0.5	1	9	14	12	10	15	6	18	A	G	V7b/V	1c# 1e 1g 1a
7	3.5	27.5	0.5	1	18	9	14	12	10	15	6	B	G	V7b/VI	1d# 1f# 1a 1b
7	4	28	0.5	1	11	16	7	12	10	15	13	E	G	vi	1e 1f# 1g 1b
7	4.5	28.5	0.5	1	7	19	3	15	13	11	16	E	G	(vi)	2e 1g 1b
8	1	29	0.5	1	12	17	8	20	4	16	7	G	G	Ib	1d 1g 2b
8	1.5	29.5	0.5	1	9	14	12	17	8	13	11	G	G	(Ib)	1c 1d 1g 1b
8	2	30	1	2	19	3	15	13	11	16	7	D	G	V	2d 1f# 1a
8	3	31	1	2	11	16	7	19	3	15	13	G	G	I;	1d 2g 1b
